iter	Passed	Remaining
1098	4265	7377
1099	4268	7373
1100	4272	7369
1101	4276	7365
1102	4279	7360
1103	4283	7356
1104	4287	7352
1105	4291	7348
1106	4294	7344
1107	4298	7339
1108	4302	7335
1109	4305	7331
1110	4309	7327
1111	4313	7323
1112	4316	7318
1113	4320	7314
1114	4324	7310
1115	4327	7306
1116	4331	7302
1117	4335	7297
1118	4339	7293
1119	4342	7289
1120	4346	7285
1121	4350	7281
1122	4353	7277
1123	4357	7273
1124	4361	7269
1125	4365	7264
1126	4368	7260
1127	4372	7256
1128	4375	7251
1129	4379	7247
1130	4383	7243
1131	4387	7239
1132	4390	7235
1133	4394	7230
1134	4398	7226
1135	4401	7222
1136	4405	7218
1137	4409	7214
1138	4412	7210
1139	4416	7206
1140	4420	7201
1141	4424	7197
1142	4427	7193
1143	4431	7189
1144	4435	7185
1145	4438	7181
1146	4442	7177
1147	4446	7172
1148	4449	7168
1149	4453	7164
1150	4457	7160
1151	4461	7156
1152	4464	7152
1153	4468	7148
1154	4477	7152
1155	4481	7148
1156	4484	7144
1157	4488	7139
1158	4492	7136
1159	4496	7131
1160	4499	7127
1161	4503	7123
1162	4507	7119
1163	4511	7115
1164	4514	7111
1165	4518	7107
1166	4522	7103
1167	4526	7099
1168	4530	7096
1169	4534	7092
1170	4538	7088
1171	4541	7084
1172	4545	7080
1173	4549	7076
1174	4553	7071
1175	4556	7067
1176	4560	7063
1177	4564	7059
1178	4568	7055
1179	4571	7051
1180	4575	7047
1181	4579	7043
1182	4583	7039
1183	4587	7035
1184	4591	7031
1185	4594	7027
1186	4598	7023
1187	4602	7019
1188	4605	7015
1189	4609	7011
1190	4613	7007
1191	4617	7003
1192	4621	6999
1193	4624	6995
1194	4628	6991
1195	4632	6987
1196	4636	6983
1197	4639	6979
1198	4643	6975
1199	4647	6971
1200	4651	6967
1201	4655	6963
1202	4658	6959
1203	4662	6955
1204	4666	6950
1205	4669	6946
1206	4673	6942
1207	4677	6938
1208	4680	6934
1209	4684	6930
1210	4688	6925
1211	4692	6922
1212	4696	6918
1213	4700	6914
1214	4703	6910
1215	4707	6905
1216	4710	6901
1217	4714	6897
1218	4718	6893
1219	4727	6896
1220	4731	6893
1221	4734	6888
1222	4738	6884
1223	4742	6880
1224	4745	6876
1225	4749	6872
1226	4753	6868
1227	4756	6864
1228	4760	6860
1229	4764	6856
1230	4768	6852
1231	4772	6848
1232	4776	6844
1233	4779	6840
1234	4783	6836
1235	4787	6832
1236	4791	6829
1237	4795	6825
1238	4799	6821
1239	4803	6817
1240	4806	6813
1241	4810	6809
1242	4814	6805
1243	4817	6800
1244	4821	6796
1245	4825	6792
1246	4829	6788
1247	4833	6784
1248	4836	6780
1249	4840	6776
1250	4844	6772
1251	4847	6768
1252	4851	6763
1253	4854	6759
1254	4858	6755
1255	4862	6751
1256	4865	6746
1257	4869	6743
1258	4873	6738
1259	4876	6734
1260	4880	6730
1261	4884	6726
1262	4887	6722
1263	4891	6718
1264	4895	6714
1265	4899	6710
1266	4902	6706
1267	4906	6702
1268	4910	6697
1269	4914	6693
1270	4917	6690
1271	4921	6685
1272	4925	6681
1273	4928	6677
1274	4932	6673
1275	4936	6669
1276	4940	6665
1277	4943	6661
1278	4947	6657
1279	4951	6653
1280	4955	6649
1281	4958	6645
1282	4962	6641
1283	4966	6637
1284	4969	6632
1285	4973	6628
1286	4977	6624
1287	4981	6620
1288	4984	6616
1289	4988	6612
1290	4992	6608
1291	4995	6604
1292	4999	6600
1293	5003	6596
1294	5007	6592
1295	5010	6588
1296	5014	6584
1297	5018	6580
1298	5022	6576
1299	5027	6573
1300	5030	6569
1301	5034	6566
1302	5038	6562
1303	5042	6558
1304	5046	6554
1305	5049	6550
1306	5053	6545
1307	5057	6542
1308	5061	6538
1309	5065	6534
1310	5069	6530
1311	5072	6526
1312	5076	6522
1313	5080	6518
1314	5084	6514
1315	5087	6510
1316	5091	6506
1317	5095	6502
1318	5099	6498
1319	5102	6494
1320	5106	6490
1321	5110	6486
1322	5114	6482
1323	5117	6478
1324	5121	6474
1325	5125	6470
1326	5129	6466
1327	5132	6462
1328	5136	6458
1329	5140	6454
1330	5143	6450
1331	5147	6446
1332	5151	6442
1333	5155	6438
1334	5158	6434
1335	5162	6430
1336	5166	6426
1337	5170	6422
1338	5173	6418
1339	5177	6414
1340	5181	6410
1341	5185	6406
1342	5189	6402
1343	5193	6398
1344	5196	6394
1345	5200	6390
1346	5204	6386
1347	5207	6382
1348	5211	6378
1349	5215	6374
1350	5218	6370
1351	5222	6366
1352	5226	6362
1353	5230	6357
1354	5233	6353
1355	5237	6349
1356	5241	6345
1357	5244	6341
1358	5248	6337
1359	5252	6333
1360	5255	6329
1361	5259	6325
1362	5263	6321
1363	5267	6317
1364	5270	6313
1365	5274	6309
1366	5278	6305
1367	5281	6301
1368	5285	6297
1369	5289	6293
1370	5293	6289
1371	5296	6285
1372	5300	6281
1373	5304	6277
1374	5307	6272
1375	5311	6268
1376	5315	6264
1377	5318	6260
1378	5322	6256
1379	5326	6252
1380	5330	6248
1381	5333	6244
1382	5337	6240
1383	5341	6236
1384	5344	6232
1385	5348	6228
1386	5352	6224
1387	5356	6220
1388	5359	6216
1389	5363	6212
1390	5367	6208
1391	5370	6204
1392	5374	6200
1393	5378	6196
1394	5381	6192
1395	5385	6188
1396	5389	6184
1397	5393	6179
1398	5396	6176
1399	5400	6172
1400	5404	6168
1401	5407	6163
1402	5411	6160
1403	5415	6156
1404	5419	6152
1405	5422	6147
1406	5426	6143
1407	5430	6139
1408	5434	6135
1409	5437	6131
1410	5441	6127
1411	5445	6123
1412	5448	6119
1413	5452	6115
1414	5456	6111
1415	5459	6107
1416	5463	6103
1417	5467	6099
1418	5471	6095
1419	5474	6091
1420	5478	6087
1421	5482	6083
1422	5486	6079
1423	5489	6075
1424	5494	6072
1425	5498	6068
1426	5501	6064
1427	5505	6060
1428	5509	6056
1429	5513	6052
1430	5516	6048
1431	5520	6044
1432	5524	6040
1433	5527	6036
1434	5531	6032
1435	5535	6028
1436	5539	6024
1437	5542	6020
1438	5546	6016
1439	5550	6012
1440	5554	6009
1441	5558	6005
1442	5561	6001
1443	5565	5997
1444	5569	5993
1445	5573	5989
1446	5578	5986
1447	5582	5982
1448	5585	5979
1449	5589	5975
1450	5593	5971
1451	5597	5967
1452	5600	5963
1453	5604	5959
1454	5608	5955
1455	5612	5951
1456	5615	5947
1457	5619	5943
1458	5623	5939
1459	5627	5935
1460	5630	5931
1461	5634	5927
1462	5638	5923
1463	5642	5919
1464	5645	5915
1465	5649	5911
1466	5653	5907
1467	5657	5903
1468	5660	5899
1469	5664	5895
1470	5668	5891
1471	5671	5887
1472	5675	5883
1473	5679	5880
1474	5683	5876
1475	5687	5872
1476	5690	5868
1477	5694	5864
1478	5698	5860
1479	5702	5856
1480	5705	5852
1481	5709	5848
1482	5713	5844
1483	5717	5840
1484	5720	5836
1485	5724	5832
1486	5728	5828
1487	5732	5824
1488	5736	5821
1489	5740	5817
1490	5743	5813
1491	5747	5809
1492	5751	5805
1493	5755	5801
1494	5759	5797
1495	5762	5793
1496	5766	5789
1497	5770	5785
1498	5773	5781
1499	5777	5777
1500	5780	5773
1501	5784	5769
1502	5788	5765
1503	5792	5761
1504	5795	5757
1505	5799	5753
1506	5803	5749
1507	5806	5745
1508	5810	5741
1509	5814	5737
1510	5818	5733
1511	5821	5729
1512	5825	5725
1513	5829	5721
1514	5832	5717
1515	5836	5713
1516	5840	5709
1517	5844	5705
1518	5847	5701
1519	5851	5697
1520	5855	5693
1521	5859	5690
1522	5863	5686
1523	5866	5682
1524	5870	5678
1525	5874	5674
1526	5878	5670
1527	5881	5666
1528	5885	5662
1529	5889	5658
1530	5892	5654
1531	5896	5650
1532	5900	5646
1533	5904	5643
1534	5908	5639
1535	5912	5635
1536	5916	5631
1537	5919	5627
1538	5923	5623
1539	5927	5619
1540	5930	5615
1541	5934	5611
1542	5938	5607
1543	5941	5603
1544	5945	5599
1545	5949	5595
1546	5952	5591
1547	5964	5594
1548	5968	5590
1549	5971	5586
1550	5975	5582
1551	5979	5578
1552	5983	5575
1553	5987	5571
1554	5991	5567
1555	5994	5563
1556	5998	5559
1557	6002	5555
1558	6005	5551
1559	6009	5547
1560	6013	5543
1561	6016	5539
1562	6020	5535
1563	6024	5531
1564	6028	5527
1565	6031	5523
1566	6035	5519
1567	6039	5515
1568	6042	5511
1569	6046	5507
1570	6050	5503
1571	6054	5499
1572	6057	5495
1573	6061	5491
1574	6065	5487
1575	6068	5483
1576	6072	5479
1577	6076	5475
